NAME,CATCHABLE_SPECIES,LAT,LONG,NOTES,HISTORY,TYPE
North Fork Poudre: Eagles Nest,"Brown trout, creek chub, sunfish, bluegill. ",40.771368,-105.231414,water can get hot in summer,"caught lots of aggressive creek chub, one brown trout fall 2020",fishing
Taylor River,,38.81767, -106.607621,lots of good access points below taylor reservoir all the way to 135,never fished,fishing
Obejoyful campground,,38.914109, -107.032872,suggested by fly shop in crested butte,never fished,fishing
Gunsight Bridge,,38.908009,-107.025486,suggested by fly shop in crested butte,never fished,fishing
Roaring Judy SWA,,38.715301,-106.851917,"suggested by fly shop in crested butte; SWA includes fish hathcery, ponds, and east river. Not sure of exact spots where to park",never fished,fishing
Slate River Peanut Lake,,38.878797,-106.99459,"park at peanut lake, can walk downriver. Decent hole at this gps spot","caught a 11-12""brown, much to my surprise on large parachute adams looking thing",
Slate River Skyland houses,,38.852176,-106.951983,"technically private but nice river access for dipping and fishing. Nice holes upstream of bridge. Rumoredly a pond a bit upstream housing 30"" rainbows","lost 2 brown trout ~11"" each on worm and parachute adams",fishing
Vail Forest Road 719,,39.684588,-106.395582,lost lake trail nearby,"rode past it on bike going to lost lake, where I saw one 3"" fish in 4 hours with no strikes",dispersed camping
Ruby van Deventer County Park,,41.85267,-124.121178,"camping spots don't rpvide a whole lot of privacy, but first come first serve spots available. Bog redwoods, right next to the smith river. ","camped summer 2021, $20 ish, good temp, heard big splashing at night but no luck on lure",campground
Smith River around gasquet,"Cutthroat, steelhead, rainbow",41.800684,-124.053892,Lots of river access spots driving along it from the west. Some nice holes at this GPS location,"caught quite a few eager 6 inchers, one nice looking steehlead ~12-13 "" summer 2021. ",fishing
Santiam River,,44.784463,-122.609215,suggested as a river with good fishing. No experience with this specific gps spot,never fished,fishing
Dispersed site,,45.20163,-123.722933,spot given to me by Conor from Kitoi,,dispersed camping
Dispersed site,,44.56265,-122.4123,spot given to me by Conor from Kitoi,,dispersed camping
Florence Keller,,41.806916,-124.149921,"County park campground, I think they have first  come first serve sites",never been,campground
Panther Flats,,41.845539, -123.969701,"Pretty good sized campground, most sites full from being booked on rec.gov. I think like 15 sites or so are first come first serve. There are some other campgrounds up the road but they have less FCFS sites. GPS is a bit off, further up the road a bit. On middle fork of smith","fished there, flows were low, nothing but 4-5"" ",campground
